game_id,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset
2018122302,2018,Hard Rock Stadium,12/23/2018 13:00,12/23/2018 15:50,-5
2018122304,2018,Bank of America Stadium,12/23/2018 13:00,12/23/2018 16:00,-5
2018122305,2018,FirstEnergy Stadium,12/23/2018 13:00,12/23/2018 15:45,-5
2018122306,2018,AT&T Stadium,12/23/2018 12:00,12/23/2018 15:00,-6
2018122307,2018,Ford Field,12/23/2018 13:00,12/23/2018 16:09,-5
2018122308,2018,Gillette Stadium,12/23/2018 13:00,12/23/2018 16:01,-5
2018122309,2018,MetLife Stadium,12/23/2018 13:00,12/23/2018 16:47,-5
2018122310,2018,Lincoln Financial Field,12/23/2018 13:00,12/23/2018 16:17,-5
2018122311,2018,State Farm Stadium,12/23/2018 14:05,12/23/2018 17:02,-7
2018122312,2018,Levi's Stadium,12/23/2018 13:05,12/23/2018 16:13,-8
2018122313,2018,Mercedes-Benz Superdome,12/23/2018 15:25,12/23/2018 18:49,-6
2018122314,2018,CenturyLink Field,12/23/2018 17:20,12/23/2018 20:41,-8
2018122400,2018,Oakland Coliseum,12/24/2018 17:15,12/24/2018 20:15,-8
2018123000,2018,M&T Bank Stadium,12/30/2018 16:25,12/30/2018 19:40,-5
2018123001,2018,New Era Field,12/30/2018 13:00,12/30/2018 16:02,-5
2018123002,2018,Lambeau Field,12/30/2018 12:00,12/30/2018 14:45,-6
2018123003,2018,NRG Stadium,12/30/2018 12:00,12/30/2018 14:53,-6
2018123004,2018,Arrowhead Stadium,12/30/2018 15:25,12/30/2018 18:02,-6
2018123005,2018,U.S. Bank Stadium,12/30/2018 15:25,12/30/2018 18:23,-6
2018123006,2018,Gillette Stadium,12/30/2018 13:00,12/30/2018 15:56,-5
2018123007,2018,Mercedes-Benz Superdome,12/30/2018 12:00,12/30/2018 15:00,-6
2018123008,2018,MetLife Stadium,12/30/2018 13:00,12/30/2018 16:11,-5
2018123009,2018,Heinz Field,12/30/2018 16:25,12/30/2018 19:25,-5
2018123010,2018,Raymond James Stadium,12/30/2018 13:00,12/30/2018 16:08,-5
2018123011,2018,Nissan Stadium,12/30/2018 19:20,12/30/2018 22:24,-6
2018123012,2018,FedExField,12/30/2018 16:25,12/30/2018 19:03,-5
2018123013,2018,Empower Field at Mile High,12/30/2018 14:25,12/30/2018 17:28,-7
2018123014,2018,Los Angeles Memorial Coliseum,12/30/2018 13:25,12/30/2018 16:40,-8
2018123015,2018,CenturyLink Field,12/30/2018 13:25,12/30/2018 16:28,-8
